timestamp,weather_icon,wind_speed,humidity,temperature,location
1990-06-30T07:00:00+07:00,partly-cloudy-day,7.2 km/h,80%,30.1°,Hà Nội
1990-07-01T07:00:00+07:00,cloudy,7.2 km/h,85%,28.3°,Hà Nội
1990-07-02T07:00:00+07:00,cloudy,7.2 km/h,86%,28.0°,Hà Nội
1990-07-03T07:00:00+07:00,partly-cloudy-day,10.8 km/h,79%,28.5°,Hà Nội
1990-07-04T07:00:00+07:00,partly-cloudy-day,10.8 km/h,75%,29.8°,Hà Nội
1990-07-05T07:00:00+07:00,partly-cloudy-day,10.8 km/h,77%,29.5°,Hà Nội
1990-07-06T07:00:00+07:00,partly-cloudy-day,25.2 km/h,75%,30.5°,Hà Nội
1990-07-07T07:00:00+07:00,partly-cloudy-day,7.2 km/h,78%,30.3°,Hà Nội
1990-07-08T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,30.9°,Hà Nội
1990-07-09T07:00:00+07:00,partly-cloudy-day,7.2 km/h,88%,26.7°,Hà Nội
1990-07-10T07:00:00+07:00,partly-cloudy-day,7.2 km/h,78%,28.6°,Hà Nội
1990-07-11T07:00:00+07:00,cloudy,7.2 km/h,88%,28.8°,Hà Nội
1990-07-12T07:00:00+07:00,partly-cloudy-day,3.6 km/h,80%,29.1°,Hà Nội
1990-07-13T07:00:00+07:00,partly-cloudy-day,7.2 km/h,68%,31.5°,Hà Nội
1990-07-14T07:00:00+07:00,partly-cloudy-day,7.2 km/h,73%,30.7°,Hà Nội
1990-07-15T07:00:00+07:00,partly-cloudy-day,3.6 km/h,81%,28.7°,Hà Nội
1990-07-16T07:00:00+07:00,partly-cloudy-day,7.2 km/h,76%,29.7°,Hà Nội
1990-07-17T07:00:00+07:00,partly-cloudy-day,10.8 km/h,66%,31.9°,Hà Nội
1990-07-18T07:00:00+07:00,partly-cloudy-day,10.8 km/h,65%,32.0°,Hà Nội
1990-07-19T07:00:00+07:00,cloudy,7.2 km/h,82%,28.5°,Hà Nội
1990-07-20T07:00:00+07:00,cloudy,14.4 km/h,88%,27.8°,Hà Nội
1990-07-21T07:00:00+07:00,partly-cloudy-day,10.8 km/h,87%,27.0°,Hà Nội
1990-07-22T07:00:00+07:00,cloudy,10.8 km/h,82%,26.9°,Hà Nội
1990-07-23T07:00:00+07:00,cloudy,7.2 km/h,93%,25.9°,Hà Nội
1990-07-24T07:00:00+07:00,cloudy,14.4 km/h,86%,27.5°,Hà Nội
1990-07-25T07:00:00+07:00,partly-cloudy-day,7.2 km/h,89%,27.1°,Hà Nội
1990-07-26T07:00:00+07:00,cloudy,7.2 km/h,86%,27.7°,Hà Nội
1990-07-27T07:00:00+07:00,cloudy,7.2 km/h,90%,26.7°,Hà Nội
1990-07-28T07:00:00+07:00,partly-cloudy-day,7.2 km/h,90%,27.4°,Hà Nội
1990-07-29T07:00:00+07:00,cloudy,10.8 km/h,92%,26.7°,Hà Nội
1990-07-30T07:00:00+07:00,partly-cloudy-day,7.2 km/h,87%,27.8°,Hà Nội
1990-07-31T07:00:00+07:00,partly-cloudy-day,10.8 km/h,82%,29.2°,Hà Nội
1990-08-01T07:00:00+07:00,partly-cloudy-day,7.2 km/h,74%,31.5°,Hà Nội
1990-08-02T07:00:00+07:00,cloudy,10.8 km/h,77%,30.2°,Hà Nội
1990-08-03T07:00:00+07:00,partly-cloudy-day,7.2 km/h,72%,31.3°,Hà Nội
1990-08-04T07:00:00+07:00,partly-cloudy-day,14.4 km/h,76%,29.4°,Hà Nội
1990-08-05T07:00:00+07:00,partly-cloudy-day,7.2 km/h,77%,30.2°,Hà Nội
1990-08-06T07:00:00+07:00,partly-cloudy-day,7.6 km/h,66%,31.3°,Hà Nội
1990-08-07T07:00:00+07:00,partly-cloudy-day,3.6 km/h,79%,30.4°,Hà Nội
1990-08-08T07:00:00+07:00,partly-cloudy-day,18.0 km/h,77%,31.0°,Hà Nội
1990-08-09T07:00:00+07:00,partly-cloudy-day,10.8 km/h,78%,31.2°,Hà Nội
1990-08-10T07:00:00+07:00,partly-cloudy-day,18.0 km/h,72%,31.9°,Hà Nội
1990-08-11T07:00:00+07:00,partly-cloudy-day,14.4 km/h,87%,28.8°,Hà Nội
1990-08-12T07:00:00+07:00,cloudy,18.0 km/h,88%,27.7°,Hà Nội
1990-08-13T07:00:00+07:00,partly-cloudy-day,14.4 km/h,86%,29.5°,Hà Nội
1990-08-14T07:00:00+07:00,partly-cloudy-day,14.4 km/h,84%,29.2°,Hà Nội
1990-08-15T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,30.4°,Hà Nội
1990-08-16T07:00:00+07:00,partly-cloudy-day,25.2 km/h,75%,31.0°,Hà Nội
1990-08-17T07:00:00+07:00,partly-cloudy-day,7.2 km/h,72%,31.6°,Hà Nội
1990-08-18T07:00:00+07:00,partly-cloudy-day,10.8 km/h,74%,31.9°,Hà Nội
1990-08-19T07:00:00+07:00,partly-cloudy-day,7.2 km/h,70%,32.0°,Hà Nội
1990-08-20T07:00:00+07:00,partly-cloudy-day,3.6 km/h,62%,33.2°,Hà Nội
1990-08-21T07:00:00+07:00,partly-cloudy-day,18.0 km/h,89%,30.3°,Hà Nội
1990-08-22T07:00:00+07:00,partly-cloudy-day,10.8 km/h,72%,33.9°,Hà Nội
1990-08-23T07:00:00+07:00,partly-cloudy-day,7.2 km/h,74%,32.4°,Hà Nội
1990-08-24T07:00:00+07:00,partly-cloudy-day,7.2 km/h,76%,31.0°,Hà Nội
1990-08-25T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,28.2°,Hà Nội
1990-08-26T07:00:00+07:00,partly-cloudy-day,10.8 km/h,78%,28.6°,Hà Nội
1990-08-27T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,29.1°,Hà Nội
1990-08-28T07:00:00+07:00,partly-cloudy-day,3.6 km/h,78%,30.2°,Hà Nội
1990-08-29T07:00:00+07:00,cloudy,7.2 km/h,77%,28.6°,Hà Nội
1990-08-30T07:00:00+07:00,cloudy,10.8 km/h,89%,26.1°,Hà Nội
1990-08-31T07:00:00+07:00,partly-cloudy-day,7.2 km/h,87%,27.0°,Hà Nội
1990-09-01T07:00:00+07:00,partly-cloudy-day,3.6 km/h,75%,31.4°,Hà Nội
1990-09-02T07:00:00+07:00,partly-cloudy-day,25.2 km/h,75%,29.8°,Hà Nội
1990-09-03T07:00:00+07:00,partly-cloudy-day,7.2 km/h,80%,29.3°,Hà Nội
1990-09-04T07:00:00+07:00,partly-cloudy-day,7.2 km/h,74%,28.9°,Hà Nội
1990-09-05T07:00:00+07:00,clear-day,3.6 km/h,82%,28.0°,Hà Nội
1990-09-06T07:00:00+07:00,partly-cloudy-day,0.0 km/h,52%,34.6°,Hà Nội
1990-09-07T07:00:00+07:00,partly-cloudy-day,28.8 km/h,75%,30.4°,Hà Nội
1990-09-08T07:00:00+07:00,partly-cloudy-day,43.2 km/h,80%,30.1°,Hà Nội
1990-09-09T07:00:00+07:00,partly-cloudy-day,18.0 km/h,75%,30.1°,Hà Nội
1990-09-10T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,29.7°,Hà Nội
1990-09-11T07:00:00+07:00,partly-cloudy-day,7.2 km/h,78%,31.1°,Hà Nội
1990-09-12T07:00:00+07:00,cloudy,7.2 km/h,84%,29.5°,Hà Nội
1990-09-13T07:00:00+07:00,cloudy,7.2 km/h,87%,26.9°,Hà Nội
1990-09-14T07:00:00+07:00,cloudy,10.8 km/h,92%,25.6°,Hà Nội
1990-09-15T07:00:00+07:00,partly-cloudy-day,7.2 km/h,87%,26.3°,Hà Nội
1990-09-16T07:00:00+07:00,partly-cloudy-day,25.2 km/h,77%,29.2°,Hà Nội
1990-09-17T07:00:00+07:00,partly-cloudy-day,14.4 km/h,68%,29.9°,Hà Nội
1990-09-18T07:00:00+07:00,partly-cloudy-day,18.0 km/h,57%,29.5°,Hà Nội
1990-09-19T07:00:00+07:00,cloudy,7.2 km/h,76%,27.0°,Hà Nội
