year,month,day,day_of_week,is_weekend,is_winter,is_spring,is_summer,is_fall,title_length,content_length,keywords_count,kw_không khí,kw_sương mù,kw_cháy,kw_nhà máy,kw_khói,kw_bụi,kw_ô nhiễm không khí,kw_đốt,kw_khí thải,kw_bụi mịn,kw_pm2.5,kw_đốt rơm rạ,kw_khí độc,kw_no2,kw_cháy rừng
2021,11,3,2,0,0,0,0,1,12,4934,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2021,10,29,4,0,0,0,0,1,65,3511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,16,3,0,0,0,0,1,57,2285,5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2021,6,28,0,0,0,0,1,0,49,3899,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2021,6,1,1,0,0,0,1,0,48,2069,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2021,5,25,1,0,0,1,0,0,23,6175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,10,28,2,0,0,0,0,1,18,5062,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2020,9,7,0,0,0,0,0,1,56,2265,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,5,26,1,0,0,1,0,0,41,3383,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2020,5,26,1,0,0,1,0,0,49,3754,7,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0
2020,4,20,0,0,0,1,0,0,56,2951,6,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
2020,4,18,5,1,0,1,0,0,27,4756,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2020,4,17,4,0,0,1,0,0,57,2713,7,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0
2019,12,23,0,0,1,0,0,0,63,2692,7,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
2019,12,21,5,1,1,0,0,0,50,3423,7,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0
2019,12,19,3,0,1,0,0,0,55,2974,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2019,12,18,2,0,1,0,0,0,51,2618,8,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0
2019,12,16,0,0,1,0,0,0,50,6457,8,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0
2019,11,26,1,0,0,0,0,1,43,2456,7,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2019,11,19,1,0,0,0,0,1,41,4001,9,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
2019,11,14,3,0,0,0,0,1,34,5190,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2019,11,13,2,0,0,0,0,1,41,3034,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,11,4,0,0,0,0,0,1,29,1817,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2019,10,14,0,0,0,0,0,1,62,2305,6,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
2019,10,11,4,0,0,0,0,1,63,3940,8,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
2019,10,6,6,1,0,0,0,1,45,3505,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,5,5,1,0,0,0,1,69,7618,6,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
2019,10,3,3,0,0,0,0,1,37,3963,8,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1
2019,10,2,2,0,0,0,0,1,35,3719,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
